time,scene_number,scene_name,character,quote,location,description,dialogue_act_type
15,0,Riley is Born,Felipe,Easy... we're good! We're good.,MINNESOTA HOUSE,Riley stops. She cautiously steps over the power cord.,Emphasis
16,0,Riley is Born,Joyce,Whew!/Nice job.,HEADQUARTERS,A fear memory (purple) rolls in.,Emphasis
17,0,Riley is Born,Sandra,Whew!/Nice job.,HEADQUARTERS,A fear memory (purple) rolls in.,Emphasis
18,0,Riley is Born,Felipe,Thank you! Thank you very much.,HEADQUARTERS,A fear memory (purple) rolls in.,Emphasis
19,0,Riley is Born,Joyce,And we're back!,HEADQUARTERS,Joyce jumps back into driving position.,Emphasis
20,0,Riley is Born,DAD,"Here we go. Alright, open.",MINNESOTA HOUSE,PLOP into highchair. Bib. Tray. Bowl.,Emphasis
21,0,Riley is Born,Joyce,Hmm. This looks new.,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.,Statement
22,0,Riley is Born,Felipe,Do you think it's safe?/What is it?,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.,whQuestion
23,0,Riley is Born,Sandra,Do you think it's safe?/What is it?,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.,whQuestion
24,0,Riley is Born,Diane,"Okay, caution! There is a dangerous smell, people. Hold on, what is that?",HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.,Emphasis
25,0,Riley is Born,Joyce,"This is Diane. She basically keeps Riley from being poisoned, physically and socially.",HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.,nAnswer
26,0,Riley is Born,Diane,That is not brightly colored or shaped like a dinosaur... Hold on guys... It's broccoli!,HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.,Emphasis
27,0,Riley is Born,YOUNG RILEY,Yucky!,MINNESOTA HOUSE,Diane GAGS and pulls a lever.,Emphasis
28,0,Riley is Born,Diane,"Well, I just saved our lives. Yeah. You're welcome.",HEADQUARTERS,A disgust memory (green) rolls in.,Reject
29,0,Riley is Born,DAD,"Riley, if you don't eat your dinner, you're not going to get any dessert.",MINNESOTA HOUSE,A disgust memory (green) rolls in.,Reject
30,0,Riley is Born,Angelo,Wait. Did he just say we couldn't have dessert?,HEADQUARTERS,Angelo looks up from reading his newspaper.,Statement
31,0,Riley is Born,Joyce,That's Angelo. He cares very deeply about things being fair.,HEADQUARTERS,Angelo looks up from reading his newspaper.,Other
32,0,Riley is Born,Angelo,"So that's how you want to play it, old man? No dessert? Oh, sure, we'll eat our dinner, right after YOU eat this! GrrrraaaAAHH!!!!",HEADQUARTERS,Angelo looks up from reading his newspaper.,Emphasis
33,0,Riley is Born,DAD,"('flying' the spoon) Hey, Riley, Riley, here comes an airplane!",MINNESOTA HOUSE,Riley throws a fit. Dad distracts her.,Emphasis
34,0,Riley is Born,Angelo,"Oh, airplane. We got an airplane, everybody.",HEADQUARTERS,Angelo stops screaming.,Statement
35,0,Riley is Born,Diane,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.,Emphasis
36,0,Riley is Born,Felipe,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.,Emphasis
37,0,Riley is Born,Sandra,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.,Emphasis
38,0,Riley is Born,Joyce,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.,Emphasis
39,0,Riley is Born,Joyce,"And you've met Sandra. She... well, she...",HEADQUARTERS,A happy memory (golden) rolls in. The others leave Joyce alone at the console with Sandra.,Statement
40,0,Riley is Born,Joyce,"I'm not actually sure what she does. And I've checked, there's no place for her to go, so she's good, we're good. It's all great!",HEADQUARTERS,"FLASH CUTS of Riley crying: broken toy, spilled ice cream, tantrum in the supermarket, wanting out of her car seat.",Emphasis
41,0,Riley is Born,Joyce,"Anyway! These are Riley's memories-- and they're mostly happy, you'll notice, not to brag.",HEADQUARTERS,Sandra exits. Joyce turns to the wall of golden memories.,Clarify
42,0,Riley is Born,Joyce,"But the REALLY important ones are over here. I don't want to get too technical, but these are called CORE MEMORIES.",HEADQUARTERS,"She inspects one of the golden memories: Riley and her friend MEG (both age 3) going down a slide. She REWINDS it, relishing the happy moment.",Reject
43,0,Riley is Born,Joyce,Each one came from a super- important time in Riley's life. Like when she first scored a goal? That was so amazing!,HEADQUARTERS,Joyce pops up the CORE MEMORY HOLDER. Inside are five intensely bright golden memories.,Emphasis
44,0,Riley is Born,MOM,(cheering) Heeey! Would you look at that?! We got a future center here!,MINNESOTA LAKE,Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.,ynQuestion
45,0,Riley is Born,DAD,(cheering) Heeey! Would you look at that?! We got a future center here!,MINNESOTA LAKE,Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.,ynQuestion
46,0,Riley is Born,Joyce,And each core memory powers a different aspect of Riley's personality. Like Hockey Island!,HEADQUARTERS,"A super-bright CORE MEMORY rolls in. It rolls to the Core Memory Holder.  Clicking into position, a LIGHTLINE shoots out.  The Emotions follow it to the back window and watch a new ISLAND OF PERSONALITY form.",Clarify
47,0,Riley is Born,Joyce,Goofball Island is my personal favorite.,HEADQUARTERS,"Five ISLANDS OF PERSONALITY float in space, miles from Headquarters, connected by LIGHTLINES -- their power sources.",yAnswer
48,0,Riley is Born,DAD,"Come back here, you little monkey!",MINNESOTA HOUSE,"Toddler Riley runs naked from the bathroom, underpants on her head, laughing wildly. Dad chases her with a towel.",Emphasis
49,0,Riley is Born,Joyce,"Yup, Goofball is the best! Friendship Island is pretty good too.",HEADQUARTERS,Naked Riley does the goofy dance on the sofa.,yAnswer
50,0,Riley is Born,Joyce,"Oh, I love Honesty Island! And that's the truth!",HEADQUARTERS,Joyce inspects Honesty Island.,Emphasis
51,0,Riley is Born,Joyce,"And, of course, Family Island is amazing.",HEADQUARTERS,Joyce examines Family Island.,nAnswer
52,0,Riley is Born,Joyce,"The point is, the Islands of Personality are what make Riley... Riley!",HEADQUARTERS,The Emotions look out over the Islands of Personality.,whQuestion
53,0,Riley is Born,YOUNG RILEY,"Look out, mermaid!",MINNESOTA HOUSE,Riley splashes in the bathtub.,Emphasis
54,0,Riley is Born,YOUNG RILEY,Lava!,MINNESOTA HOUSE,Joyce projects an IMAGINATION of LAVA onto the screen.,Emphasis
55,0,Riley is Born,YOUNG RILEY,"(singing) Who's your friend who likes to play? Bing Bong, Bing Bong...",MINNESOTA HOUSE,Riley draws. Pull back to reveal she's drawing on the wall.,Other
56,0,Riley is Born,MOM,Hey! Very nice! Where did you learn that?,MINNESOTA LAKE,Six-year-old Riley skates across the ice backwards.,whQuestion
57,0,Riley is Born,DAD,Hey! Very nice! Where did you learn that?,MINNESOTA LAKE,Six-year-old Riley skates across the ice backwards.,whQuestion
58,0,Riley is Born,Felipe,Brain freeze!,HEADQUARTERS,Riley and Meg slurp frozen drinks. Riley grimaces: ice headache!,Emphasis
59,0,Riley is Born,Joyce,Yaaay!,HEADQUARTERS,A kids' hockey game. Riley takes a shot and scores!,Emphasis
60,0,Riley is Born,DAD,"Good night, kiddo!",MINNESOTA HOUSE,Parents tuck Riley into bed and turn off the light.,Bye
61,0,Riley is Born,RILEY,"G'night, Dad.",MINNESOTA HOUSE,Parents tuck Riley into bed and turn off the light.,Statement
62,0,Riley is Born,Joyce,And... we're out. That's what I'm talking about: another perfect day! Nice job everybody! Let's get those memories down to Long Term.,HEADQUARTERS,Joyce watches the screen go DARK. She inspects the shelves mostly populated with GOLDEN MEMORIES.,Clarify
63,0,Riley is Born,Felipe,"All right, we did not die today! I call that an unqualified success.",HEADQUARTERS,Joyce pulls a lever. Memories cascade down the shelves.,Emphasis
64,0,Riley is Born,Joyce,"And that's it! We love our girl. She's got great friends and a great house. Things couldn't be better. After all, Riley's 11 now. What could happen?",HEADQUARTERS,The memories pachinko down the shelves and up a tube. Joyce runs to the back window to watch them glide through the distant tubes towards Long-Term Memory like falling stars.,Other
65,1,Moving to San Francisco,Joyce,Wha...?,HEADQUARTERS,Moving sign: Sold!,whQuestion
66,1,Moving to San Francisco,Sandra,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!,Emphasis
67,1,Moving to San Francisco,Felipe,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!,Emphasis
68,1,Moving to San Francisco,Angelo,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!,Emphasis
69,1,Moving to San Francisco,Diane,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!,Emphasis
70,1,Moving to San Francisco,Joyce,Huh?,HEADQUARTERS,SLAM! A packed car hatchback closes.,ynQuestion
71,1,Moving to San Francisco,Sandra,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.,Emphasis
72,1,Moving to San Francisco,Felipe,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.,Emphasis
73,1,Moving to San Francisco,Angelo,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.,Emphasis
74,1,Moving to San Francisco,Diane,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.,Emphasis
75,1,Moving to San Francisco,Joyce,"OK, not what I had in mind.",HEADQUARTERS,VROOM! A moving van drives away.,Statement
76,1,Moving to San Francisco,Sandra,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.,Emphasis
77,1,Moving to San Francisco,Felipe,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.,Emphasis
78,1,Moving to San Francisco,Angelo,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.,Emphasis
79,1,Moving to San Francisco,Diane,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.,Emphasis
80,1,Moving to San Francisco,Joyce,"Hey look! The Golden Gate Bridge! Isn't that great?! It's not made out of solid gold like we thought, which is kind of a disappointment, but still!",TITLE CARD: INSIDE OUT,The car drives across the bridge. Riley looks out the window.,nAnswer
81,1,Moving to San Francisco,Felipe,"I sure am glad you told me earthquakes are a myth, Joyce. Otherwise I'd be terrified right now!",HEADQUARTERS,The car drives past the Ferry Building.,Statement
82,1,Moving to San Francisco,Joyce,Uh... yeah.,HEADQUARTERS,Everyone eyes each other behind Felipe's back.,Accept
83,1,Moving to San Francisco,Angelo,These are my kind of people!,HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.,Emphasis
84,1,Moving to San Francisco,DAD,"All right, just a few more blocks. We're almost to our new house!",EXT. MARKET STREET - DAY,The car is stuck in traffic. Cars HONK and people YELL.,Emphasis
85,1,Moving to San Francisco,Angelo,"Step on it, Daddy!",HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.,Emphasis
86,1,Moving to San Francisco,Diane,Why don't we just live in this smelly car? We've already been in it forever.,HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.,Other
87,1,Moving to San Francisco,Joyce,"Which, actually, was really lucky, because that gave us plenty of time to think about what our new house is going to look like! Let's review the top five daydreams.",HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.,Clarify
88,1,Moving to San Francisco,Felipe,Ooh! That looks safe!,HEADQUARTERS,"Joyce plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc.",Emphasis
89,1,Moving to San Francisco,Joyce,"Ohh, this is will be great for Riley! Oh, no, no, no, THIS one.",HEADQUARTERS,"Joyce plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc.",Reject
90,1,Moving to San Francisco,Diane,"Ugh, Joyce. For the last time, she cannot live in a cookie.",HEADQUARTERS,A gingerbread house.,nAnswer
91,1,Moving to San Francisco,Angelo,THAT'S the one! It comes with a dragon!,HEADQUARTERS,A castle.,Emphasis
92,1,Moving to San Francisco,Joyce,"Now we're getting close, I can feel it. Here it is, here's our new house... and...",SAN FRANCISCO HOUSE,A castle.,Emphasis
93,1,Moving to San Francisco,Joyce,Maybe it's nice on the inside.,HEADQUARTERS,Everyone looks slackjawed.,Statement
94,1,Moving to San Francisco,Angelo,We're supposed to live here?,SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting.",ynQuestion
95,1,Moving to San Francisco,Sandra,Do we have to?,SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting.",ynQuestion
96,1,Moving to San Francisco,Diane,"I'm telling you, it smells like something died in here.",SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting.",nAnswer
97,1,Moving to San Francisco,Felipe,Can you die from moving?,HEADQUARTERS,A disgust memory rolls in.,ynQuestion
98,1,Moving to San Francisco,Joyce,"Guys, you're overreacting. Nobody is dying--",HEADQUARTERS,A disgust memory rolls in.,Reject
99,1,Moving to San Francisco,Diane,A DEAD MOUSE!!!,HEADQUARTERS,A disgust memory rolls in.,Emphasis
100,1,Moving to San Francisco,Diane,I'm gonna be sick...,HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.,Statement
101,1,Moving to San Francisco,Angelo,"Great, this is just great.",HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.,Statement
102,1,Moving to San Francisco,Felipe,Ahhhhh!! It's the house of the dead! What are we gonna do?! We're gonna get rabies!!!,HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.,Emphasis
103,1,Moving to San Francisco,Angelo,GET OFFA ME!!!,HEADQUARTERS,Felipe jumps into Angelo's arms. Angelo fires up the flames.,Emphasis
104,1,Moving to San Francisco,Joyce,"Hey, hey, hey, all through the drive Dad talked about how cool our new room is. Let's go check it out!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.,Clarify
105,1,Moving to San Francisco,Felipe,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.,Emphasis
106,1,Moving to San Francisco,Angelo,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.,Emphasis
107,1,Moving to San Francisco,Diane,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.,Emphasis
108,1,Moving to San Francisco,Felipe,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.,Reject
109,1,Moving to San Francisco,Diane,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.,Reject
110,1,Moving to San Francisco,Angelo,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.,Reject
111,1,Moving to San Francisco,Sandra,"Oh, Riley can't live here.",HEADQUARTERS,It's tiny. Depressing.,Statement
112,1,Moving to San Francisco,Angelo,She's right.,HEADQUARTERS,It's tiny. Depressing.,Statement
113,1,Moving to San Francisco,Felipe,Really bad.,HEADQUARTERS,It's tiny. Depressing.,Statement
114,1,Moving to San Francisco,Diane,It's the worst. It's absolutely the worst.,HEADQUARTERS,It's tiny. Depressing.,Statement
115,1,Moving to San Francisco,Angelo,This house stinks.,HEADQUARTERS,It's tiny. Depressing.,Emphasis
116,1,Moving to San Francisco,Joyce,"Hey, it's nothing our butterfly curtains couldn't fix. I read somewhere that an empty room is an opportunity.",HEADQUARTERS,"Memories roll in: anger, disgust, fear.",Other
117,1,Moving to San Francisco,Angelo,Where did you read that?,HEADQUARTERS,"Memories roll in: anger, disgust, fear.",whQuestion
118,1,Moving to San Francisco,Joyce,It doesn't matter. I read it and it's great. We'll put the bed there. And the desk over there...,HEADQUARTERS,"Memories roll in: anger, disgust, fear.",Emphasis
119,1,Moving to San Francisco,Felipe,The hockey lamp goes there...,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Statement
120,1,Moving to San Francisco,Angelo,Put the chair there.,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Statement
121,1,Moving to San Francisco,Diane,"Well, the trophy collection goes there.",HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Statement
122,1,Moving to San Francisco,Sandra,Posters...,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Statement
123,1,Moving to San Francisco,Felipe,Stars! I like that.,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Statement
124,1,Moving to San Francisco,Joyce,Now we're talking! Let's go get our stuff from the moving van!,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.,Clarify
125,1,Moving to San Francisco,DAD,"Alright. Goodbye. (hangs up; to Mom) Well, guess what? The moving van won't be here until Thursday.",SAN FRANCISCO HOUSE,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.,Other
126,1,Moving to San Francisco,MOM,You're kidding.,SAN FRANCISCO HOUSE,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.,Statement
127,1,Moving to San Francisco,Felipe,The van is lost?! This is the worst day ever!,HEADQUARTERS,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.,Emphasis
128,1,Moving to San Francisco,MOM,You said it would be here yesterday!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,Emphasis
129,1,Moving to San Francisco,DAD,I know that's what I said. That's what they told me!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,Statement
130,1,Moving to San Francisco,Felipe,Mom and Dad are stressed out!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,Emphasis
131,1,Moving to San Francisco,Felipe,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,whQuestion
132,1,Moving to San Francisco,Angelo,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,whQuestion
133,1,Moving to San Francisco,Diane,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,whQuestion
134,1,Moving to San Francisco,Sandra,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.,whQuestion
135,1,Moving to San Francisco,Joyce,I've got a great idea!,HEADQUARTERS,Joyce runs to storage and grabs what looks to be a LIGHTBULB.,Emphasis
136,1,Moving to San Francisco,MOM,Did you even read the contract?,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,ynQuestion
137,1,Moving to San Francisco,DAD,"Honey, you act like this is my fault--",SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,Emphasis
138,1,Moving to San Francisco,RILEY,Andersen makes her move. She's closing in!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,Emphasis
139,1,Moving to San Francisco,DAD,"(grabbing a broom) Hey! Oh, no you're not!",SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,Reject
140,1,Moving to San Francisco,RILEY,She's lining up for the shot!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,Emphasis
141,1,Moving to San Francisco,DAD,Coming behind you! Watch out!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.,Emphasis
142,1,Moving to San Francisco,RILEY,She shoots and she scores! Yeah!,SAN FRANCISCO HOUSE,She slides past him. Knocks the puck into the fireplace.,Emphasis
143,1,Moving to San Francisco,RILEY,"(taunting Mom) Come on, Grandma!",SAN FRANCISCO HOUSE,"The Emotions cheer. Out the back window, Family Island runs.",Statement
144,1,Moving to San Francisco,MOM,Ha! Grandma?,SAN FRANCISCO HOUSE,"The Emotions cheer. Out the back window, Family Island runs.",ynQuestion
145,1,Moving to San Francisco,Joyce,"Uh-oh, she put her hair up, we're in for it!",HEADQUARTERS,"The Emotions cheer. Out the back window, Family Island runs.",Emphasis
146,1,Moving to San Francisco,MOM,"(laughing) Woo! Hey, put me down!",SAN FRANCISCO HOUSE,"They all play hockey, Mom using a pillow to guard the goal. Dad picks her up to shoot past her.",Other
147,1,Moving to San Francisco,DAD,"Ugh. Sorry, hold on, hold on. (answers) Hello?",SAN FRANCISCO HOUSE,Dad's cell phone beeps.,Other
148,1,Moving to San Francisco,Joyce,Wait. Wha--?,HEADQUARTERS,Dad's cell phone beeps.,Other
149,1,Moving to San Francisco,DAD,"You're kidding. All right. Stall for me, I'll be right there. (hangs up) The investor's supposed to show up on Thursday, not today! I gotta go.",SAN FRANCISCO HOUSE,Dad's cell phone beeps.,Reject
150,1,Moving to San Francisco,MOM,It's okay. We get it.,SAN FRANCISCO HOUSE,Joyce is disappointed.,Statement
151,1,Moving to San Francisco,DAD,"You're the best. Thanks, Hon. (to Riley, as he leaves) See you, Sweetie.",SAN FRANCISCO HOUSE,Joyce is disappointed.,Clarify
152,1,Moving to San Francisco,Felipe,Dad just left us.,HEADQUARTERS,Joyce is disappointed.,Statement
153,1,Moving to San Francisco,Sandra,"Oh, he doesn't love us anymore. That's sad. I should drive, right?",HEADQUARTERS,Joyce is disappointed.,Clarify
154,1,Moving to San Francisco,Sandra,Joyce? What are you doing?,JOY BLOCKS HER.,Joyce is disappointed.,whQuestion
155,1,Moving to San Francisco,Joyce,"Uh, just uh, gimme one second... You know what I've realized? Riley hasn't had lunch! (takes a memory off the wall and plays it) Remember?",JOY BLOCKS HER.,Joyce is disappointed.,nAnswer
156,1,Moving to San Francisco,RILEY,Hey I saw a pizza place down the street. Maybe we could try that?,SAN FRANCISCO HOUSE,Joyce is disappointed.,Clarify
157,1,Moving to San Francisco,MOM,Pizza sounds delicious!,SAN FRANCISCO HOUSE,Joyce is disappointed.,Emphasis
158,1,Moving to San Francisco,Felipe,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.,yAnswer
159,1,Moving to San Francisco,Angelo,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.,yAnswer
160,1,Moving to San Francisco,Diane,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.,yAnswer
161,1,Moving to San Francisco,Felipe,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.,Emphasis
162,1,Moving to San Francisco,Joyce,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.,Emphasis
163,1,Moving to San Francisco,Diane,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.,Emphasis
164,1,Moving to San Francisco,Angelo,"Congratulations, San Francisco, you've ruined pizza!  First the Hawaiians, and now YOU!",HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.,Emphasis
165,1,Moving to San Francisco,MOM,"What kind of a pizza place only serves one kind of pizza? Must be a San Francisco thing, huh?",SAN FRANCISCO STREET,Mom and Riley walk home. Riley looks disappointed.,Other
166,1,Moving to San Francisco,MOM,"Still, it's not as bad as the soup at that diner in Nebraska.",SAN FRANCISCO STREET,Joyce glances at the wall of multi-colored memories. She sighs: things are not going well.,Statement
167,1,Moving to San Francisco,RILEY,Oh yeah. The spoon stood up in the soup by itself! That was disgusting.,SAN FRANCISCO STREET,Joyce glances at the wall of multi-colored memories. She sighs: things are not going well.,Emphasis
168,1,Moving to San Francisco,Joyce,Oh good. Family is running.,HEADQUARTERS,Joyce looks out the back window. Family Island is going.,Statement
169,1,Moving to San Francisco,MOM,"The drive out was pretty fun, huh? What was your favorite part?",SAN FRANCISCO STREET,Joyce looks out the back window. Family Island is going.,Other
170,1,Moving to San Francisco,Angelo,Spitting out the car window!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.,Reject
171,1,Moving to San Francisco,Diane,Definitely not when Dad was singing.,HEADQUARTERS,Joyce looks out the back window. Family Island is going.,nAnswer
172,1,Moving to San Francisco,Felipe,Wearing a seat belt!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.,Emphasis
173,1,Moving to San Francisco,Joyce,What about the time with the dinosaur!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.,whQuestion
174,1,Moving to San Francisco,Sandra,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.,Statement
175,1,Moving to San Francisco,Felipe,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.,Statement
176,1,Moving to San Francisco,Angelo,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.,Statement
177,1,Moving to San Francisco,Diane,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.,Statement
178,1,Moving to San Francisco,DAD,Say cheese!,HEADQUARTERS,"ON THE SCREEN: Riley and Mom pose in front of a roadside cement dinosaur in Vernal, Utah.",Emphasis
179,1,Moving to San Francisco,RILEY,Dad! Dad! Look behind you.,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!",Clarify
180,1,Moving to San Francisco,MOM,Honey. The car! The car!,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!",Reject
181,1,Moving to San Francisco,DAD,Hold still. Huh? (runs off after the car) Stoooop! No no no nononono!!,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!",Other
