time,character,quote,location,description
18,Felipe,Thank you! Thank you very much.,HEADQUARTERS,A fear memory (purple) rolls in.
19,Joyce,And we're back!,HEADQUARTERS,Joyce jumps back into driving position.
20,DAD,"Here we go. Alright, open.",MINNESOTA HOUSE,PLOP into highchair. Bib. Tray. Bowl.
21,Joyce,Hmm. This looks new.,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
22,Felipe,Do you think it's safe?/What is it?,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
23,Sandra,Do you think it's safe?/What is it?,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
24,Diane,"Okay, caution! There is a dangerous smell, people. Hold on, what is that?",HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.
25,Joyce,"This is Diane. She basically keeps Riley from being poisoned, physically and socially.",HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.
26,Diane,That is not brightly colored or shaped like a dinosaur... Hold on guys... It's broccoli!,HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.
27,YOUNG RILEY,Yucky!,MINNESOTA HOUSE,Diane GAGS and pulls a lever.
28,Diane,"Well, I just saved our lives. Yeah. You're welcome.",HEADQUARTERS,A disgust memory (green) rolls in.
29,DAD,"Riley, if you don't eat your dinner, you're not going to get any dessert.",MINNESOTA HOUSE,A disgust memory (green) rolls in.
30,Angelo,Wait. Did he just say we couldn't have dessert?,HEADQUARTERS,Angelo looks up from reading his newspaper.
31,Joyce,That's Angelo. He cares very deeply about things being fair.,HEADQUARTERS,Angelo looks up from reading his newspaper.
32,Angelo,"So that's how you want to play it, old man? No dessert? Oh, sure, we'll eat our dinner, right after YOU eat this! GrrrraaaAAHH!!!!",HEADQUARTERS,Angelo looks up from reading his newspaper.
33,DAD,"('flying' the spoon) Hey, Riley, Riley, here comes an airplane!",MINNESOTA HOUSE,Riley throws a fit. Dad distracts her.
34,Angelo,"Oh, airplane. We got an airplane, everybody.",HEADQUARTERS,Angelo stops screaming.
35,Diane,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.
36,Felipe,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.
37,Sandra,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.
38,Joyce,Ohh!/Ahh!,HEADQUARTERS,Angelo stops screaming.
39,Joyce,"And you've met Sandra. She... well, she...",HEADQUARTERS,A happy memory (golden) rolls in. The others leave Joyce alone at the console with Sandra.
40,Joyce,"I'm not actually sure what she does. And I've checked, there's no place for her to go, so she's good, we're good. It's all great!",HEADQUARTERS,"FLASH CUTS of Riley crying: broken toy, spilled ice cream, tantrum in the supermarket, wanting out of her car seat."
41,Joyce,"Anyway! These are Riley's memories-- and they're mostly happy, you'll notice, not to brag.",HEADQUARTERS,Sandra exits. Joyce turns to the wall of golden memories.
42,Joyce,"But the REALLY important ones are over here. I don't want to get too technical, but these are called CORE MEMORIES.",HEADQUARTERS,"She inspects one of the golden memories: Riley and her friend MEG (both age 3) going down a slide. She REWINDS it, relishing the happy moment."
43,Joyce,Each one came from a super- important time in Riley's life. Like when she first scored a goal? That was so amazing!,HEADQUARTERS,Joyce pops up the CORE MEMORY HOLDER. Inside are five intensely bright golden memories.
44,MOM,(cheering) Heeey! Would you look at that?! We got a future center here!,MINNESOTA LAKE,Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.
45,DAD,(cheering) Heeey! Would you look at that?! We got a future center here!,MINNESOTA LAKE,Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.
46,Joyce,And each core memory powers a different aspect of Riley's personality. Like Hockey Island!,HEADQUARTERS,"A super-bright CORE MEMORY rolls in. It rolls to the Core Memory Holder.  Clicking into position, a LIGHTLINE shoots out.  The Emotions follow it to the back window and watch a new ISLAND OF PERSONALITY form."
47,Joyce,Goofball Island is my personal favorite.,HEADQUARTERS,"Five ISLANDS OF PERSONALITY float in space, miles from Headquarters, connected by LIGHTLINES -- their power sources."
48,DAD,"Come back here, you little monkey!",MINNESOTA HOUSE,"Toddler Riley runs naked from the bathroom, underpants on her head, laughing wildly. Dad chases her with a towel."
49,Joyce,"Yup, Goofball is the best! Friendship Island is pretty good too.",HEADQUARTERS,Naked Riley does the goofy dance on the sofa.
50,Joyce,"Oh, I love Honesty Island! And that's the truth!",HEADQUARTERS,Joyce inspects Honesty Island.
51,Joyce,"And, of course, Family Island is amazing.",HEADQUARTERS,Joyce examines Family Island.
52,Joyce,"The point is, the Islands of Personality are what make Riley... Riley!",HEADQUARTERS,The Emotions look out over the Islands of Personality.
53,YOUNG RILEY,"Look out, mermaid!",MINNESOTA HOUSE,Riley splashes in the bathtub.
54,YOUNG RILEY,Lava!,MINNESOTA HOUSE,Joyce projects an IMAGINATION of LAVA onto the screen.
55,YOUNG RILEY,"(singing) Who's your friend who likes to play? Bing Bong, Bing Bong...",MINNESOTA HOUSE,Riley draws. Pull back to reveal she's drawing on the wall.
56,MOM,Hey! Very nice! Where did you learn that?,MINNESOTA LAKE,Six-year-old Riley skates across the ice backwards.
57,DAD,Hey! Very nice! Where did you learn that?,MINNESOTA LAKE,Six-year-old Riley skates across the ice backwards.
58,Felipe,Brain freeze!,HEADQUARTERS,Riley and Meg slurp frozen drinks. Riley grimaces: ice headache!
59,Joyce,Yaaay!,HEADQUARTERS,A kids' hockey game. Riley takes a shot and scores!
60,DAD,"Good night, kiddo!",MINNESOTA HOUSE,Parents tuck Riley into bed and turn off the light.
61,RILEY,"G'night, Dad.",MINNESOTA HOUSE,Parents tuck Riley into bed and turn off the light.
62,Joyce,And... we're out. That's what I'm talking about: another perfect day! Nice job everybody! Let's get those memories down to Long Term.,HEADQUARTERS,Joyce watches the screen go DARK. She inspects the shelves mostly populated with GOLDEN MEMORIES.
63,Felipe,"All right, we did not die today! I call that an unqualified success.",HEADQUARTERS,Joyce pulls a lever. Memories cascade down the shelves.
64,Joyce,"And that's it! We love our girl. She's got great friends and a great house. Things couldn't be better. After all, Riley's 11 now. What could happen?",HEADQUARTERS,The memories pachinko down the shelves and up a tube. Joyce runs to the back window to watch them glide through the distant tubes towards Long-Term Memory like falling stars.
65,Joyce,Wha...?,HEADQUARTERS,Moving sign: Sold!
66,Sandra,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!
67,Felipe,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!
68,Angelo,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!
69,Diane,AIIIIIGHH!!!,HEADQUARTERS,Moving sign: Sold!
70,Joyce,Huh?,HEADQUARTERS,SLAM! A packed car hatchback closes.
71,Sandra,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.
72,Felipe,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.
73,Angelo,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.
74,Diane,AIIIIIGHH!!!,HEADQUARTERS,SLAM! A packed car hatchback closes.
75,Joyce,"OK, not what I had in mind.",HEADQUARTERS,VROOM! A moving van drives away.
76,Sandra,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.
77,Felipe,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.
78,Angelo,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.
79,Diane,AIIIIIGHH!!!,HEADQUARTERS,VROOM! A moving van drives away.
80,Joyce,"Hey look! The Golden Gate Bridge! Isn't that great?! It's not made out of solid gold like we thought, which is kind of a disappointment, but still!",TITLE CARD: INSIDE OUT,The car drives across the bridge. Riley looks out the window.
81,Felipe,"I sure am glad you told me earthquakes are a myth, Joyce. Otherwise I'd be terrified right now!",HEADQUARTERS,The car drives past the Ferry Building.
82,Joyce,Uh... yeah.,HEADQUARTERS,Everyone eyes each other behind Felipe's back.
83,Angelo,These are my kind of people!,HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
84,DAD,"All right, just a few more blocks. We're almost to our new house!",EXT. MARKET STREET - DAY,The car is stuck in traffic. Cars HONK and people YELL.
85,Angelo,"Step on it, Daddy!",HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
86,Diane,Why don't we just live in this smelly car? We've already been in it forever.,HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
87,Joyce,"Which, actually, was really lucky, because that gave us plenty of time to think about what our new house is going to look like! Let's review the top five daydreams.",HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
88,Felipe,Ooh! That looks safe!,HEADQUARTERS,"Joyce plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc."
89,Joyce,"Ohh, this is will be great for Riley! Oh, no, no, no, THIS one.",HEADQUARTERS,"Joyce plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc."
90,Diane,"Ugh, Joyce. For the last time, she cannot live in a cookie.",HEADQUARTERS,A gingerbread house.
91,Angelo,THAT'S the one! It comes with a dragon!,HEADQUARTERS,A castle.
92,Joyce,"Now we're getting close, I can feel it. Here it is, here's our new house... and...",SAN FRANCISCO HOUSE,A castle.
93,Joyce,Maybe it's nice on the inside.,HEADQUARTERS,Everyone looks slackjawed.
94,Angelo,We're supposed to live here?,SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
95,Sandra,Do we have to?,SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
96,Diane,"I'm telling you, it smells like something died in here.",SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
97,Felipe,Can you die from moving?,HEADQUARTERS,A disgust memory rolls in.
98,Joyce,"Guys, you're overreacting. Nobody is dying--",HEADQUARTERS,A disgust memory rolls in.
99,Diane,A DEAD MOUSE!!!,HEADQUARTERS,A disgust memory rolls in.
100,Diane,I'm gonna be sick...,HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
101,Angelo,"Great, this is just great.",HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
102,Felipe,Ahhhhh!! It's the house of the dead! What are we gonna do?! We're gonna get rabies!!!,HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
103,Angelo,GET OFFA ME!!!,HEADQUARTERS,Felipe jumps into Angelo's arms. Angelo fires up the flames.
104,Joyce,"Hey, hey, hey, all through the drive Dad talked about how cool our new room is. Let's go check it out!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.
105,Felipe,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.
106,Angelo,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.
107,Diane,"You're right, Joyce/Yeah!/That's right!/Yes, yes, yes!",HEADQUARTERS,Felipe runs around on fire. Joyce puts him out with a fire extinguisher.
108,Felipe,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.
109,Diane,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.
110,Angelo,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",SAN FRANCISCO HOUSE,It's tiny. Depressing.
111,Sandra,"Oh, Riley can't live here.",HEADQUARTERS,It's tiny. Depressing.
112,Angelo,She's right.,HEADQUARTERS,It's tiny. Depressing.
113,Felipe,Really bad.,HEADQUARTERS,It's tiny. Depressing.
114,Diane,It's the worst. It's absolutely the worst.,HEADQUARTERS,It's tiny. Depressing.
115,Angelo,This house stinks.,HEADQUARTERS,It's tiny. Depressing.
116,Joyce,"Hey, it's nothing our butterfly curtains couldn't fix. I read somewhere that an empty room is an opportunity.",HEADQUARTERS,"Memories roll in: anger, disgust, fear."
117,Angelo,Where did you read that?,HEADQUARTERS,"Memories roll in: anger, disgust, fear."
118,Joyce,It doesn't matter. I read it and it's great. We'll put the bed there. And the desk over there...,HEADQUARTERS,"Memories roll in: anger, disgust, fear."
119,Felipe,The hockey lamp goes there...,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
120,Angelo,Put the chair there.,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
121,Diane,"Well, the trophy collection goes there.",HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
122,Sandra,Posters...,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
123,Felipe,Stars! I like that.,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
124,Joyce,Now we're talking! Let's go get our stuff from the moving van!,HEADQUARTERS,Joyce projects an IMAGINATION of Riley's furniture.
125,DAD,"Alright. Goodbye. (hangs up; to Mom) Well, guess what? The moving van won't be here until Thursday.",SAN FRANCISCO HOUSE,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
126,MOM,You're kidding.,SAN FRANCISCO HOUSE,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
127,Felipe,The van is lost?! This is the worst day ever!,HEADQUARTERS,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
128,MOM,You said it would be here yesterday!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
129,DAD,I know that's what I said. That's what they told me!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
130,Felipe,Mom and Dad are stressed out!,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
131,Felipe,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
132,Angelo,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
133,Diane,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
134,Sandra,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
135,Joyce,I've got a great idea!,HEADQUARTERS,Joyce runs to storage and grabs what looks to be a LIGHTBULB.
136,MOM,Did you even read the contract?,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
137,DAD,"Honey, you act like this is my fault--",SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
138,RILEY,Andersen makes her move. She's closing in!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
139,DAD,"(grabbing a broom) Hey! Oh, no you're not!",SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
140,RILEY,She's lining up for the shot!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
141,DAD,Coming behind you! Watch out!,SAN FRANCISCO HOUSE,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
142,RILEY,She shoots and she scores! Yeah!,SAN FRANCISCO HOUSE,She slides past him. Knocks the puck into the fireplace.
143,RILEY,"(taunting Mom) Come on, Grandma!",SAN FRANCISCO HOUSE,"The Emotions cheer. Out the back window, Family Island runs."
144,MOM,Ha! Grandma?,SAN FRANCISCO HOUSE,"The Emotions cheer. Out the back window, Family Island runs."
145,Joyce,"Uh-oh, she put her hair up, we're in for it!",HEADQUARTERS,"The Emotions cheer. Out the back window, Family Island runs."
146,MOM,"(laughing) Woo! Hey, put me down!",SAN FRANCISCO HOUSE,"They all play hockey, Mom using a pillow to guard the goal. Dad picks her up to shoot past her."
147,DAD,"Ugh. Sorry, hold on, hold on. (answers) Hello?",SAN FRANCISCO HOUSE,Dad's cell phone beeps.
148,Joyce,Wait. Wha--?,HEADQUARTERS,Dad's cell phone beeps.
149,DAD,"You're kidding. All right. Stall for me, I'll be right there. (hangs up) The investor's supposed to show up on Thursday, not today! I gotta go.",SAN FRANCISCO HOUSE,Dad's cell phone beeps.
150,MOM,It's okay. We get it.,SAN FRANCISCO HOUSE,Joyce is disappointed.
151,DAD,"You're the best. Thanks, Hon. (to Riley, as he leaves) See you, Sweetie.",SAN FRANCISCO HOUSE,Joyce is disappointed.
152,Felipe,Dad just left us.,HEADQUARTERS,Joyce is disappointed.
153,Sandra,"Oh, he doesn't love us anymore. That's sad. I should drive, right?",HEADQUARTERS,Joyce is disappointed.
154,Sandra,Joyce? What are you doing?,JOY BLOCKS HER.,Joyce is disappointed.
155,Joyce,"Uh, just uh, gimme one second... You know what I've realized? Riley hasn't had lunch! (takes a memory off the wall and plays it) Remember?",JOY BLOCKS HER.,Joyce is disappointed.
156,RILEY,Hey I saw a pizza place down the street. Maybe we could try that?,SAN FRANCISCO HOUSE,Joyce is disappointed.
157,MOM,Pizza sounds delicious!,SAN FRANCISCO HOUSE,Joyce is disappointed.
158,Felipe,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.
159,Angelo,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.
160,Diane,"Yeah!/Pizza!/Good idea, Joyce.",HEADQUARTERS,Joyce is disappointed.
161,Felipe,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
162,Joyce,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
163,Diane,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
164,Angelo,"Congratulations, San Francisco, you've ruined pizza!  First the Hawaiians, and now YOU!",HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
165,MOM,"What kind of a pizza place only serves one kind of pizza? Must be a San Francisco thing, huh?",SAN FRANCISCO STREET,Mom and Riley walk home. Riley looks disappointed.
166,MOM,"Still, it's not as bad as the soup at that diner in Nebraska.",SAN FRANCISCO STREET,Joyce glances at the wall of multi-colored memories. She sighs: things are not going well.
167,RILEY,Oh yeah. The spoon stood up in the soup by itself! That was disgusting.,SAN FRANCISCO STREET,Joyce glances at the wall of multi-colored memories. She sighs: things are not going well.
168,Joyce,Oh good. Family is running.,HEADQUARTERS,Joyce looks out the back window. Family Island is going.
169,MOM,"The drive out was pretty fun, huh? What was your favorite part?",SAN FRANCISCO STREET,Joyce looks out the back window. Family Island is going.
170,Angelo,Spitting out the car window!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.
171,Diane,Definitely not when Dad was singing.,HEADQUARTERS,Joyce looks out the back window. Family Island is going.
172,Felipe,Wearing a seat belt!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.
173,Joyce,What about the time with the dinosaur!,HEADQUARTERS,Joyce looks out the back window. Family Island is going.
174,Sandra,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.
175,Felipe,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.
176,Angelo,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.
177,Diane,Yeah./Yup./That's the one.,HEADQUARTERS,Joyce pulls up a memory.
178,DAD,Say cheese!,HEADQUARTERS,"ON THE SCREEN: Riley and Mom pose in front of a roadside cement dinosaur in Vernal, Utah."
179,RILEY,Dad! Dad! Look behind you.,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
180,MOM,Honey. The car! The car!,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
181,DAD,Hold still. Huh? (runs off after the car) Stoooop! No no no nononono!!,HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
182,Felipe,"Nice one, Joyce.",HEADQUARTERS,"Stegosaurus tail through the back window. The family laughs. Enjoying the memory, Joyce and the others chuckle."
183,RILEY,(smiling) I liked that time at the dinosaur. That was pretty funny.,SAN FRANCISCO STREET,"Stegosaurus tail through the back window. The family laughs. Enjoying the memory, Joyce and the others chuckle."
184,Joyce,Wait. What? What happened?,HEADQUARTERS,Riley's smile fades.
185,Felipe,She did something to the memory.,HEADQUARTERS,Joyce looks back. Sandra is touching the memory.
186,Joyce,What did you do?,HEADQUARTERS,Joyce tries to fix the memory.
187,Sandra,I just touched it.,HEADQUARTERS,Joyce tries to fix the memory.
188,Joyce,That shouldn't make it change.,HEADQUARTERS,Joyce tries to fix the memory.
189,Felipe,"Change it back, Joyce!",HEADQUARTERS,Joyce tries to fix the memory.
190,Joyce,I'm trying.,HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
191,Angelo,You can't change it back?,HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
192,Joyce,"No, I guess I can't!",HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
193,Diane,"Good going Sandra. Now when Riley thinks of that moment with Dad, she's gonna feel sad. Bravo.",HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
194,Sandra,"I'm sorry Joyce... I don't really know-- I thought maybe, if you-- if I-- if... I mean...",HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
195,Diane,"Joyce, we've got a stairway coming up.",HEADQUARTERS,"Joyce rubs it, but the memory stays blue."
196,Joyce,Just don't touch any other memories until we figure out what's going on.,HEADQUARTERS,Riley runs towards a stairway and handrail.
197,Sandra,Okay.,HEADQUARTERS,Riley runs towards a stairway and handrail.
198,Joyce,"(stepping up to controls) Alright. Get ready, this is a monster railing, and we are riding it all the way down!",HEADQUARTERS,Riley runs towards a stairway and handrail.
199,Joyce,"Wait, what? What happened?",HEADQUARTERS,Riley goes to slide... but hops off and walks down instead.
200,Felipe,A core memory!,HEADQUARTERS,Suddenly a CORE MEMORY ROLLS up to Joyce's feet.
201,Joyce,Oh no!,HEADQUARTERS,Suddenly a CORE MEMORY ROLLS up to Joyce's feet.
202,Joyce,Sandra! What are you doing?,HEADQUARTERS,"Out the back window, GOOFBALL ISLAND GOES DARK. Joyce rushes to the Core Memory Holder."
203,Sandra,It looked like one was crooked so I opened it and then it fell out!,HEADQUARTERS,"Out the back window, GOOFBALL ISLAND GOES DARK. Joyce rushes to the Core Memory Holder."
204,RILEY,Woo hoo!,SAN FRANCISCO STREET,Riley jumps back on the railing and slides down.
205,Sandra,It's just that... I wanted to maybe hold one.,HEADQUARTERS,Riley jumps back on the railing and slides down.
206,Felipe,Joyce!,HEADQUARTERS,"She reaches out to touch one, AND IT STARTS TO GO BLUE."
207,Joyce,"Whoa, whoa, whoa!",HEADQUARTERS,Joyce pushes Sandra away before she can touch it.
208,Joyce,"Sandra! You nearly touched a core memory. And when you touch them, we can't change them back!",HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
209,Sandra,I know. I'm sorry. Something's wrong with me. It's like I'm having a breakdown.,HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
210,Joyce,You are not having a breakdown. It's stress.,HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
211,Sandra,I keep making mistakes like that. I'm awful...,HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
212,Joyce,"Nooo, you're not.",HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
213,Sandra,...and annoying.,HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
214,Joyce,"Well... uh... You know what? You can't focus on what's going wrong. There's always a way to turn things around, to find the fun!",HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
215,Sandra,Yeah. Find the fun. I don't know how to do that.,HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
216,Joyce,"Okay. Well, try think of something funny!",HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
217,Sandra,Oh! Remember the funny movie where the dog dies?,HEADQUARTERS,Long pause.
218,Joyce,"Yeah, that's not... (tries another approach) What about that time with Meg, when Riley laughed so hard milk came out of her nose? I mean come on...",HEADQUARTERS,Long pause.
219,Sandra,"Yeah, that hurt. It felt like fire.",HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
220,Joyce,"Okay, okay, don't think of that. Let's try something else. What are your favorite things to do?",HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
221,Sandra,"My favorite? Um, well, I like it when we're outside.",HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
222,Joyce,That's good! Like there's the beach and sunshine... Oh! Like that time we buried Dad in the sand up to his neck?,HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
223,Sandra,I was thinking more like rain.,HEADQUARTERS,"INSERT: Riley at beach, Dad buried in sand."
224,Joyce,Rain? Rain... is my favorite too! We can stomp around in puddles...,HEADQUARTERS,INSERT: Riley stands in a downpour.
225,Joyce,"There's cool umbrellas, lightning storms...",HEADQUARTERS,INSERT: Riley happily jumps through puddles.
226,Sandra,More like when the rain runs down our back and makes our shoes soggy. And we get all cold and shivery...,HEADQUARTERS,INSERT: Riley happily jumps through puddles.
227,Sandra,...and everything just starts feeling droopy...,HEADQUARTERS,INSERT: Riley's shoes fill with water. She looks miserable.
228,Joyce,"Oh, hey, hey... easy. Why are you crying? That's really the opposite of what we're going for here.",HEADQUARTERS,"Sandra melts to the floor, crying."
229,Sandra,Crying helps me slow down and obsess over the weight of life's problems.,HEADQUARTERS,"Sandra melts to the floor, crying."
230,Joyce,"Ugh, you know what? Let's think about something else. How about we read some mind manuals, huh? Sounds fun!",HEADQUARTERS,"Sandra melts to the floor, crying."
231,Sandra,I've read most of them.,HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
