time,character,quote,location,description
107,DISGUST,"You're right, Joy/Yeah!/That's right!/Yes, yes, yes!",INT. HEADQUARTERS,Fear runs around on fire. Joy puts him out with a fire extinguisher.
108,FEAR,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",INT. RILEY'S ROOM,It's tiny. Depressing.
109,DISGUST,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",INT. RILEY'S ROOM,It's tiny. Depressing.
110,ANGER,"No, no, no, no, no./I'm starting to envy the dead mouse./Get out the rubber ball, we're in solitary confinement.",INT. RILEY'S ROOM,It's tiny. Depressing.
111,SADNESS,"Oh, Riley can't live here.",INT. HEADQUARTERS,It's tiny. Depressing.
112,ANGER,She's right.,INT. HEADQUARTERS,It's tiny. Depressing.
113,FEAR,Really bad.,INT. HEADQUARTERS,It's tiny. Depressing.
114,DISGUST,It's the worst. It's absolutely the worst.,INT. HEADQUARTERS,It's tiny. Depressing.
115,ANGER,This house stinks.,INT. HEADQUARTERS,It's tiny. Depressing.
116,JOY,"Hey, it's nothing our butterfly curtains couldn't fix. I read somewhere that an empty room is an opportunity.",INT. HEADQUARTERS,"Memories roll in: anger, disgust, fear."
117,ANGER,Where did you read that?,INT. HEADQUARTERS,"Memories roll in: anger, disgust, fear."
118,JOY,It doesn't matter. I read it and it's great. We'll put the bed there. And the desk over there...,INT. HEADQUARTERS,"Memories roll in: anger, disgust, fear."
119,FEAR,The hockey lamp goes there...,INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
120,ANGER,Put the chair there.,INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
121,DISGUST,"Well, the trophy collection goes there.",INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
122,SADNESS,Posters...,INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
123,FEAR,Stars! I like that.,INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
124,JOY,Now we're talking! Let's go get our stuff from the moving van!,INT. HEADQUARTERS,Joy projects an IMAGINATION of Riley's furniture.
125,DAD,"Alright. Goodbye. (hangs up; to Mom) Well, guess what? The moving van won't be here until Thursday.",INT. SAN FRANCISCO HOUSE - DAY,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
126,MOM,You're kidding.,INT. SAN FRANCISCO HOUSE - DAY,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
127,FEAR,The van is lost?! This is the worst day ever!,INT. HEADQUARTERS,Riley dashes down the stairs as Mom and Dad enter the house. Dad is on the phone.
128,MOM,You said it would be here yesterday!,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
129,DAD,I know that's what I said. That's what they told me!,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
130,FEAR,Mom and Dad are stressed out!,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
131,FEAR,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
132,ANGER,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
133,DISGUST,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
134,SADNESS,They're arguing!/What are we going to do?/This is so stressful./What is their problem?,INT. HEADQUARTERS,ON THE SCREEN: Mom and Dad ARGUE.
135,JOY,I've got a great idea!,INT. HEADQUARTERS,Joy runs to storage and grabs what looks to be a LIGHTBULB.
136,MOM,Did you even read the contract?,INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
137,DAD,"Honey, you act like this is my fault--",INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
138,RILEY,Andersen makes her move. She's closing in!,INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
139,DAD,"(grabbing a broom) Hey! Oh, no you're not!",INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
140,RILEY,She's lining up for the shot!,INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
141,DAD,Coming behind you! Watch out!,INT. SAN FRANCISCO LIVING ROOM - DAY,Riley's face lights up. Riley grabs her hockey stick. Puts a wad of paper in play.
142,RILEY,She shoots and she scores! Yeah!,INT. SAN FRANCISCO LIVING ROOM - DAY,She slides past him. Knocks the puck into the fireplace.
143,RILEY,"(taunting Mom) Come on, Grandma!",INT. SAN FRANCISCO LIVING ROOM,"The Emotions cheer. Out the back window, Family Island runs."
144,MOM,Ha! Grandma?,INT. SAN FRANCISCO LIVING ROOM,"The Emotions cheer. Out the back window, Family Island runs."
145,JOY,"Uh-oh, she put her hair up, we're in for it!",INT. HEADQUARTERS,"The Emotions cheer. Out the back window, Family Island runs."
146,MOM,"(laughing) Woo! Hey, put me down!",INT. SAN FRANCISCO LIVING ROOM,"They all play hockey, Mom using a pillow to guard the goal. Dad picks her up to shoot past her."
147,DAD,"Ugh. Sorry, hold on, hold on. (answers) Hello?",INT. SAN FRANCISCO LIVING ROOM,Dad's cell phone beeps.
148,JOY,Wait. Wha--?,INT. HEADQUARTERS,Dad's cell phone beeps.
149,DAD,"You're kidding. All right. Stall for me, I'll be right there. (hangs up) The investor's supposed to show up on Thursday, not today! I gotta go.",INT. SAN FRANCISCO LIVING ROOM,Dad's cell phone beeps.
150,MOM,It's okay. We get it.,INT. SAN FRANCISCO LIVING ROOM,Joy is disappointed.
151,DAD,"You're the best. Thanks, Hon. (to Riley, as he leaves) See you, Sweetie.",INT. SAN FRANCISCO LIVING ROOM,Joy is disappointed.
152,FEAR,Dad just left us.,INT. HEADQUARTERS,Joy is disappointed.
153,SADNESS,"Oh, he doesn't love us anymore. That's sad. I should drive, right?",INT. HEADQUARTERS,Joy is disappointed.
154,SADNESS,Joy? What are you doing?,JOY BLOCKS HER.,Joy is disappointed.
155,JOY,"Uh, just uh, gimme one second... You know what I've realized? Riley hasn't had lunch! (takes a memory off the wall and plays it) Remember?",JOY BLOCKS HER.,Joy is disappointed.
156,RILEY,Hey I saw a pizza place down the street. Maybe we could try that?,INT. SAN FRANCISCO LIVING ROOM,Joy is disappointed.
157,MOM,Pizza sounds delicious!,INT. SAN FRANCISCO LIVING ROOM,Joy is disappointed.
158,FEAR,"Yeah!/Pizza!/Good idea, Joy.",INT. HEADQUARTERS,Joy is disappointed.
159,ANGER,"Yeah!/Pizza!/Good idea, Joy.",INT. HEADQUARTERS,Joy is disappointed.
160,DISGUST,"Yeah!/Pizza!/Good idea, Joy.",INT. HEADQUARTERS,Joy is disappointed.
161,FEAR,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,INT. HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
162,JOY,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,INT. HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
163,DISGUST,What the HECK IS THAT?!/Who puts broccoli on pizza?/That's it. I'm done.,INT. HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
164,ANGER,"Congratulations, San Francisco, you've ruined pizza!  First the Hawaiians, and now YOU!",INT. HEADQUARTERS,Riley and Mom get their pizza. On it: broccoli.
165,MOM,"What kind of a pizza place only serves one kind of pizza? Must be a San Francisco thing, huh?",EXT. SAN FRANCISCO STREET - LATER,Mom and Riley walk home. Riley looks disappointed.
166,MOM,"Still, it's not as bad as the soup at that diner in Nebraska.",EXT. SAN FRANCISCO STREET,Joy glances at the wall of multi-colored memories. She sighs: things are not going well.
167,RILEY,Oh yeah. The spoon stood up in the soup by itself! That was disgusting.,EXT. SAN FRANCISCO STREET,Joy glances at the wall of multi-colored memories. She sighs: things are not going well.
168,JOY,Oh good. Family is running.,INT. HEADQUARTERS,Joy looks out the back window. Family Island is going.
169,MOM,"The drive out was pretty fun, huh? What was your favorite part?",EXT. SAN FRANCISCO STREET,Joy looks out the back window. Family Island is going.
170,ANGER,Spitting out the car window!,INT. HEADQUARTERS,Joy looks out the back window. Family Island is going.
171,DISGUST,Definitely not when Dad was singing.,INT. HEADQUARTERS,Joy looks out the back window. Family Island is going.
172,FEAR,Wearing a seat belt!,INT. HEADQUARTERS,Joy looks out the back window. Family Island is going.
173,JOY,What about the time with the dinosaur!,INT. HEADQUARTERS,Joy looks out the back window. Family Island is going.
174,SADNESS,Yeah./Yup./That's the one.,INT. HEADQUARTERS,Joy pulls up a memory.
175,FEAR,Yeah./Yup./That's the one.,INT. HEADQUARTERS,Joy pulls up a memory.
176,ANGER,Yeah./Yup./That's the one.,INT. HEADQUARTERS,Joy pulls up a memory.
177,DISGUST,Yeah./Yup./That's the one.,INT. HEADQUARTERS,Joy pulls up a memory.
178,DAD,Say cheese!,INT. HEADQUARTERS,"ON THE SCREEN: Riley and Mom pose in front of a roadside cement dinosaur in Vernal, Utah."
179,RILEY,Dad! Dad! Look behind you.,INT. HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
180,MOM,Honey. The car! The car!,INT. HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
181,DAD,Hold still. Huh? (runs off after the car) Stoooop! No no no nononono!!,INT. HEADQUARTERS,"Behind Dad, the car rolls down the hill. No brakes!"
182,FEAR,"Nice one, Joy.",INT. HEADQUARTERS,"Stegosaurus tail through the back window. The family laughs. Enjoying the memory, Joy and the others chuckle."
183,RILEY,(smiling) I liked that time at the dinosaur. That was pretty funny.,EXT. SAN FRANCISCO STREET,"Stegosaurus tail through the back window. The family laughs. Enjoying the memory, Joy and the others chuckle."
184,JOY,Wait. What? What happened?,INT. HEADQUARTERS,Riley's smile fades.
185,FEAR,She did something to the memory.,INT. HEADQUARTERS,Joy looks back. Sadness is touching the memory.
186,JOY,What did you do?,INT. HEADQUARTERS,Joy tries to fix the memory.
187,SADNESS,I just touched it.,INT. HEADQUARTERS,Joy tries to fix the memory.
188,JOY,That shouldn't make it change.,INT. HEADQUARTERS,Joy tries to fix the memory.
189,FEAR,"Change it back, Joy!",INT. HEADQUARTERS,Joy tries to fix the memory.
190,JOY,I'm trying.,INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
191,ANGER,You can't change it back?,INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
192,JOY,"No, I guess I can't!",INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
193,DISGUST,"Good going Sadness. Now when Riley thinks of that moment with Dad, she's gonna feel sad. Bravo.",INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
194,SADNESS,"I'm sorry Joy... I don't really know-- I thought maybe, if you-- if I-- if... I mean...",INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
195,DISGUST,"Joy, we've got a stairway coming up.",INT. HEADQUARTERS,"Joy rubs it, but the memory stays blue."
196,JOY,Just don't touch any other memories until we figure out what's going on.,INT. HEADQUARTERS,Riley runs towards a stairway and handrail.
197,SADNESS,Okay.,INT. HEADQUARTERS,Riley runs towards a stairway and handrail.
198,JOY,"(stepping up to controls) Alright. Get ready, this is a monster railing, and we are riding it all the way down!",INT. HEADQUARTERS,Riley runs towards a stairway and handrail.
199,JOY,"Wait, what? What happened?",INT. HEADQUARTERS,Riley goes to slide... but hops off and walks down instead.
200,FEAR,A core memory!,INT. HEADQUARTERS,Suddenly a CORE MEMORY ROLLS up to Joy's feet.
201,JOY,Oh no!,INT. HEADQUARTERS,Suddenly a CORE MEMORY ROLLS up to Joy's feet.
202,JOY,Sadness! What are you doing?,INT. HEADQUARTERS,"Out the back window, GOOFBALL ISLAND GOES DARK. Joy rushes to the Core Memory Holder."
203,SADNESS,It looked like one was crooked so I opened it and then it fell out!,INT. HEADQUARTERS,"Out the back window, GOOFBALL ISLAND GOES DARK. Joy rushes to the Core Memory Holder."
204,RILEY,Woo hoo!,EXT. SAN FRANCISCO STREET,Riley jumps back on the railing and slides down.
205,SADNESS,It's just that... I wanted to maybe hold one.,INT. HEADQUARTERS,Riley jumps back on the railing and slides down.
206,FEAR,JOY!,INT. HEADQUARTERS,"She reaches out to touch one, AND IT STARTS TO GO BLUE."
207,JOY,"Whoa, whoa, whoa!",INT. HEADQUARTERS,Joy pushes Sadness away before she can touch it.
208,JOY,"Sadness! You nearly touched a core memory. And when you touch them, we can't change them back!",INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
209,SADNESS,I know. I'm sorry. Something's wrong with me. It's like I'm having a breakdown.,INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
210,JOY,You are not having a breakdown. It's stress.,INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
211,SADNESS,I keep making mistakes like that. I'm awful...,INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
212,JOY,"Nooo, you're not.",INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
213,SADNESS,...and annoying.,INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
214,JOY,"Well... uh... You know what? You can't focus on what's going wrong. There's always a way to turn things around, to find the fun!",INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
215,SADNESS,Yeah. Find the fun. I don't know how to do that.,INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
216,JOY,"Okay. Well, try think of something funny!",INT. HEADQUARTERS,The core memory TURNS BACK TO YELLOW.
217,SADNESS,Oh! Remember the funny movie where the dog dies?,INT. HEADQUARTERS,Long pause.
218,JOY,"Yeah, that's not... (tries another approach) What about that time with Meg, when Riley laughed so hard milk came out of her nose? I mean come on...",INT. HEADQUARTERS,Long pause.
219,SADNESS,"Yeah, that hurt. It felt like fire.",INT. HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
220,JOY,"Okay, okay, don't think of that. Let's try something else. What are your favorite things to do?",INT. HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
221,SADNESS,"My favorite? Um, well, I like it when we're outside.",INT. HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
